100 409
10 20 0.007352941176470588
10 50 0.005025125628140704
10 80 0.01639344262295082
10 130 0.005025125628140704
10 220 0.005025125628140704
10 240 0.030927835051546393
10 320 0.00546448087431694
10 500 0.005025125628140704
10 550 0.005050505050505051
10 620 0.005025125628140704
10 1250 0.005025125628140704
20 30 0.016666666666666666
20 40 0.041666666666666664
20 50 0.022388059701492536
20 60 0.00980392156862745
20 70 0.007352941176470588
20 80 0.022099447513812154
20 130 0.03007518796992481
20 240 0.014814814814814815
20 280 0.019230769230769232
20 360 0.011627906976744186
20 1250 0.007352941176470588
20 1930 0.01694915254237288
20 2200 0.015625
20 2210 0.014705882352941176
20 2290 0.025
20 2310 0.007352941176470588
20 2330 0.02702702702702703
20 2340 0.02702702702702703
20 2360 0.017857142857142856
20 2370 0.025
20 2390 0.024390243902439025
20 3270 0.023809523809523808
30 40 0.027777777777777776
30 50 0.008130081300813009
30 60 0.022727272727272728
30 80 0.005847953216374269
30 130 0.008130081300813009
30 280 0.010869565217391304
30 300 0.009900990099009901
30 340 0.025
30 420 0.008064516129032258
30 1700 0.023809523809523808
30 1930 0.021739130434782608
30 2200 0.008620689655172414
30 2210 0.01818181818181818
30 2330 0.041666666666666664
30 2340 0.041666666666666664
30 2360 0.023255813953488372
30 2370 0.037037037037037035
30 2390 0.03571428571428571
30 3270 0.034482758620689655
40 50 0.008928571428571428
40 60 0.01282051282051282
40 80 0.00625
40 130 0.008928571428571428
40 280 0.012345679012345678
40 500 0.008928571428571428
40 1930 0.02857142857142857
40 2200 0.009523809523809525
40 2210 0.022727272727272728
40 2330 0.07692307692307693
40 2340 0.07692307692307693
40 2360 0.03125
40 2370 0.0625
40 2390 0.058823529411764705
40 3270 0.05555555555555555
50 60 0.006060606060606061
50 70 0.0582010582010582
50 80 0.01639344262295082
50 130 0.25
50 220 0.005025125628140704
50 240 0.005025125628140704
50 280 0.03680981595092025
50 340 0.02631578947368421
50 360 0.013513513513513514
50 380 0.04032258064516129
50 400 0.005025125628140704
50 420 0.02030456852791878
50 500 0.005025125628140704
50 1930 0.01652892561983471
50 2200 0.005208333333333333
50 2210 0.007633587786259542
50 2270 0.008333333333333333
50 2330 0.01
50 2340 0.01
50 2360 0.008403361344537815
50 2370 0.009708737864077669
50 2390 0.009615384615384616
50 2610 0.006369426751592357
50 2840 0.009900990099009901
50 2990 0.005025125628140704
50 3270 0.009523809523809525
60 80 0.014218009478672985
60 130 0.006060606060606061
60 280 0.007462686567164179
60 360 0.008695652173913044
60 420 0.006024096385542169
60 1930 0.011363636363636364
60 2200 0.012738853503184714
60 2210 0.010309278350515464
60 2330 0.015151515151515152
60 2340 0.015151515151515152
60 2360 0.011764705882352941
60 2370 0.014492753623188406
60 2390 0.014285714285714285
60 2520 0.014925373134328358
60 2610 0.008130081300813009
60 2630 0.004830917874396135
60 3270 0.014084507042253521
70 130 0.04712041884816754
70 220 0.005025125628140704
70 280 0.011976047904191617
70 360 0.006711409395973154
70 400 0.005025125628140704
70 420 0.005
70 440 0.005050505050505051
70 2270 0.008333333333333333
70 2300 0.009009009009009009
80 130 0.012244897959183673
80 240 0.0205761316872428
80 280 0.009302325581395349
80 320 0.004329004329004329
80 340 0.006097560975609756
80 360 0.015384615384615385
80 380 0.005681818181818182
80 420 0.004032258064516129
80 500 0.004048582995951417
80 630 0.0055248618784530384
80 1250 0.008130081300813009
80 1930 0.0058823529411764705
80 2200 0.008368200836820083
80 2210 0.00558659217877095
80 2330 0.006756756756756757
80 2340 0.006756756756756757
80 2360 0.005988023952095809
80 2370 0.006622516556291391
80 2390 0.006578947368421052
80 2630 0.0034602076124567475
80 2840 0.006711409395973154
80 3270 0.006535947712418301
130 220 0.005025125628140704
130 240 0.005025125628140704
130 280 0.043209876543209874
130 300 0.005649717514124294
130 340 0.02631578947368421
130 360 0.013513513513513514
130 380 0.04032258064516129
130 420 0.02030456852791878
130 500 0.005025125628140704
130 620 0.010101010101010102
130 1002 0.009900990099009901
130 1250 0.005025125628140704
130 1530 0.01
130 1600 0.009900990099009901
130 1900 0.009900990099009901
130 1930 0.025
130 2200 0.005208333333333333
130 2210 0.007633587786259542
130 2270 0.008333333333333333
130 2330 0.01
130 2340 0.01
130 2360 0.008403361344537815
130 2370 0.009708737864077669
130 2390 0.009615384615384616
130 2450 0.009523809523809525
130 2590 0.009523809523809525
130 2840 0.009900990099009901
130 2990 0.005025125628140704
130 3050 0.009009009009009009
130 3170 0.008620689655172414
130 3270 0.009523809523809525
130 3480 0.005025125628140704
220 320 0.016574585635359115
220 360 0.02040816326530612
220 380 0.0078125
220 400 0.005025125628140704
220 440 0.005050505050505051
220 500 0.005025125628140704
220 550 0.005050505050505051
220 620 0.02040816326530612
220 3020 0.007692307692307693
220 3483 0.007518796992481203
240 440 0.005050505050505051
240 500 0.005025125628140704
240 630 0.007518796992481203
240 2210 0.007633587786259542
240 2630 0.004149377593360996
240 3020 0.007692307692307693
280 300 0.00684931506849315
280 320 0.013245033112582781
280 340 0.023809523809523808
280 360 0.02586206896551724
280 380 0.020833333333333332
280 420 0.011904761904761904
280 440 0.005988023952095809
280 500 0.005952380952380952
280 1930 0.022222222222222223
280 2200 0.006211180124223602
280 2210 0.01
280 2330 0.014492753623188406
280 2340 0.014492753623188406
280 2360 0.011363636363636364
280 2370 0.013888888888888888
280 2390 0.0136986301369863
280 2630 0.004761904761904762
280 2840 0.014285714285714285
280 2990 0.005952380952380952
280 3270 0.013513513513513514
300 320 0.006211180124223602
300 440 0.005681818181818182
300 2630 0.0045662100456621
320 340 0.020202020202020204
320 360 0.12605042016806722
320 380 0.008928571428571428
320 420 0.005434782608695652
320 500 0.01098901098901099
320 550 0.005494505494505495
320 620 0.00546448087431694
320 1930 0.009433962264150943
320 2300 0.010526315789473684
320 3483 0.008547008547008548
340 360 0.015151515151515152
340 380 0.09523809523809523
340 420 0.02608695652173913
340 500 0.017391304347826087
340 1930 0.02564102564102564
340 2840 0.05555555555555555
340 2990 0.008620689655172414
360 380 0.01282051282051282
360 420 0.006666666666666667
360 500 0.006711409395973154
360 1930 0.013888888888888888
380 420 0.1504424778761062
380 500 0.023809523809523808
380 1250 0.0078125
380 1930 0.0196078431372549
380 2630 0.0058823529411764705
380 2840 0.03333333333333333
380 2990 0.0078125
400 440 0.005050505050505051
400 620 0.04712041884816754
400 3480 0.005025125628140704
420 500 0.015151515151515152
420 1250 0.005
420 1930 0.008130081300813009
420 2290 0.009615384615384616
420 2500 0.009523809523809525
420 2610 0.006329113924050633
420 2630 0.004132231404958678
420 2840 0.00980392156862745
420 2990 0.005
440 620 0.005050505050505051
440 3020 0.007751937984496124
500 550 0.015306122448979591
500 620 0.005025125628140704
500 1930 0.00819672131147541
500 2200 0.005208333333333333
500 2310 0.005025125628140704
500 2990 0.005025125628140704
550 620 0.005050505050505051
550 1250 0.01015228426395939
570 1300 0.008547008547008548
620 1250 0.005025125628140704
620 1840 0.005025125628140704
620 2280 0.005025125628140704
620 3480 0.005025125628140704
630 1630 0.02564102564102564
630 1700 0.019230769230769232
630 2630 0.005714285714285714
730 2280 0.005025125628140704
1002 1530 0.5
1002 1600 0.3333333333333333
1002 1900 0.3333333333333333
1002 1930 0.041666666666666664
1002 2450 0.14285714285714285
1002 2590 0.14285714285714285
1002 3050 0.07692307692307693
1002 3480 0.009900990099009901
1200 1520 0.018518518518518517
1200 2100 0.011904761904761904
1200 2630 0.006944444444444444
1200 2820 0.05263157894736842
1200 3020 0.030303030303030304
1200 3050 0.07142857142857142
1250 2630 0.008333333333333333
1250 2990 0.005025125628140704
1500 1640 0.058823529411764705
1520 2100 0.007518796992481203
1520 2630 0.0051813471502590676
1520 2820 0.014705882352941176
1520 3020 0.012195121951219513
1520 3050 0.015873015873015872
1530 1600 0.5
1530 1900 0.5
1530 1930 0.043478260869565216
1530 2450 0.16666666666666666
1530 2590 0.16666666666666666
1530 3050 0.08333333333333333
1530 3480 0.01
1600 1900 0.3333333333333333
1600 1930 0.041666666666666664
1600 2450 0.14285714285714285
1600 2590 0.14285714285714285
1600 3050 0.07692307692307693
1600 3480 0.009900990099009901
1630 1640 0.058823529411764705
1700 2200 0.009009009009009009
1900 1930 0.041666666666666664
1900 2450 0.14285714285714285
1900 2590 0.14285714285714285
1900 3050 0.07692307692307693
1900 3480 0.009900990099009901
1930 2200 0.008695652173913044
1930 2210 0.018518518518518517
1930 2330 0.043478260869565216
1930 2340 0.043478260869565216
1930 2360 0.023809523809523808
1930 2370 0.038461538461538464
1930 2390 0.037037037037037035
1930 2450 0.03571428571428571
1930 2590 0.03571428571428571
1930 2990 0.00819672131147541
1930 3050 0.029411764705882353
1930 3270 0.03571428571428571
1930 3480 0.00819672131147541
2100 2280 0.0055248618784530384
2100 2300 0.010752688172043012
2100 2320 0.005747126436781609
2100 2630 0.004484304932735426
2100 2820 0.01020408163265306
2100 3020 0.008928571428571428
2100 3050 0.010752688172043012
2100 3330 0.00684931506849315
2200 2210 0.016260162601626018
2200 2310 0.005208333333333333
2200 2320 0.010869565217391304
2200 2330 0.010752688172043012
2200 2340 0.010752688172043012
2200 2360 0.008928571428571428
2200 2370 0.010416666666666666
2200 2390 0.010309278350515464
2200 3270 0.01020408163265306
2210 2310 0.023255813953488372
2210 2320 0.02459016393442623
2210 2330 0.03125
2210 2340 0.03125
2210 2350 0.007633587786259542
2210 2360 0.0196078431372549
2210 2370 0.02857142857142857
2210 2390 0.027777777777777776
2210 2630 0.005780346820809248
2210 3170 0.020833333333333332
2210 3270 0.02702702702702703
2270 2280 0.008333333333333333
2270 2310 0.01680672268907563
2270 2320 0.008849557522123894
2280 2310 0.02564102564102564
2280 2320 0.015789473684210527
2290 2300 0.06666666666666667
2300 2310 0.009009009009009009
2300 2320 0.009615384615384616
2300 3483 0.022222222222222223
2310 2320 0.08426966292134831
2310 2350 0.005025125628140704
2310 3170 0.008620689655172414
2320 3170 0.009174311926605505
2330 2340 1.0
2330 2360 0.05
2330 2370 0.25
2330 2390 0.2
2330 3270 0.16666666666666666
2340 2360 0.05
2340 2370 0.25
2340 2390 0.2
2340 3270 0.16666666666666666
2350 3490 0.008333333333333333
2360 2370 0.2
2360 2390 0.08695652173913043
2360 3270 0.04
2370 2390 0.2857142857142857
2370 3270 0.1111111111111111
2390 3270 0.1
2450 2590 0.09090909090909091
2450 3050 0.058823529411764705
2450 3480 0.009523809523809525
2590 2600 0.009523809523809525
2590 3050 0.058823529411764705
2590 3480 0.009523809523809525
2620 2630 0.016216216216216217
2620 2640 0.08771929824561403
2620 3010 0.020833333333333332
2620 3050 0.017543859649122806
2630 2640 0.01282051282051282
2630 2820 0.006329113924050633
2630 3020 0.005813953488372093
2630 3050 0.006535947712418301
2820 2870 0.04
2820 3020 0.02127659574468085
2820 3050 0.03571428571428571
2900 2920 0.25
2990 3020 0.007692307692307693
3010 3050 0.15384615384615385
3020 3050 0.023809523809523808
3050 3480 0.009009009009009009
3480 3483 0.007518796992481203
