1000 11937
10 20 0.007352941176470588
10 50 0.005025125628140704
10 80 0.01639344262295082
10 130 0.005025125628140704
10 220 0.005025125628140704
10 240 0.030927835051546393
10 320 0.00546448087431694
10 500 0.005025125628140704
10 550 0.005050505050505051
10 620 0.005025125628140704
10 1250 0.005025125628140704
10 12120 0.005025125628140704
10 12150 0.005025125628140704
10 21130 0.005988023952095809
10 21690 0.005025125628140704
10 33230 0.005025125628140704
10 34870 0.005555555555555556
10 41000 0.006896551724137931
10 47790 0.007194244604316547
10 48190 0.005025125628140704
20 30 0.016666666666666666
20 40 0.041666666666666664
20 50 0.022388059701492536
20 60 0.00980392156862745
20 70 0.007352941176470588
20 80 0.022099447513812154
20 130 0.03007518796992481
20 240 0.014814814814814815
20 280 0.019230769230769232
20 360 0.011627906976744186
20 1250 0.007352941176470588
20 1930 0.01694915254237288
20 2200 0.015625
20 2210 0.014705882352941176
20 2290 0.025
20 2310 0.007352941176470588
20 2330 0.02702702702702703
20 2340 0.02702702702702703
20 2360 0.017857142857142856
20 2370 0.025
20 2390 0.024390243902439025
20 3270 0.023809523809523808
20 3620 0.013157894736842105
20 3900 0.01694915254237288
20 3910 0.014084507042253521
20 3920 0.014084507042253521
20 3990 0.022727272727272728
20 4920 0.009345794392523364
20 6850 0.011627906976744186
20 6860 0.007352941176470588
20 6900 0.010752688172043012
20 6920 0.010416666666666666
20 6980 0.022727272727272728
20 7000 0.007042253521126761
20 7530 0.02564102564102564
20 7600 0.019230769230769232
20 7650 0.025
20 7660 0.025
20 7730 0.02564102564102564
20 7760 0.0196078431372549
20 7770 0.025
20 8800 0.014084507042253521
20 9010 0.010638297872340425
20 9030 0.02702702702702703
20 9040 0.02702702702702703
20 9050 0.0064516129032258064
20 9060 0.016666666666666666
20 9160 0.02564102564102564
20 9900 0.008771929824561403
20 11020 0.007352941176470588
20 13560 0.00641025641025641
20 13570 0.006535947712418301
20 13580 0.022222222222222223
20 15000 0.023809523809523808
20 15120 0.015625
20 16810 0.018518518518518517
20 17080 0.023255813953488372
20 17410 0.013333333333333334
20 17480 0.005952380952380952
20 19830 0.024390243902439025
20 21000 0.007352941176470588
20 21090 0.007352941176470588
20 21800 0.023809523809523808
20 35140 0.007352941176470588
20 39540 0.017857142857142856
20 39560 0.024390243902439025
20 41000 0.012195121951219513
20 49520 0.007352941176470588
20 57650 0.024390243902439025
20 65560 0.024390243902439025
30 40 0.027777777777777776
30 50 0.008130081300813009
30 60 0.022727272727272728
30 80 0.005847953216374269
30 130 0.008130081300813009
30 280 0.010869565217391304
30 300 0.009900990099009901
30 340 0.025
30 420 0.008064516129032258
30 1700 0.023809523809523808
30 1930 0.021739130434782608
30 2200 0.008620689655172414
30 2210 0.01818181818181818
30 2330 0.041666666666666664
30 2340 0.041666666666666664
30 2360 0.023255813953488372
30 2370 0.037037037037037035
30 2390 0.03571428571428571
30 3270 0.034482758620689655
30 3900 0.021739130434782608
30 3910 0.017241379310344827
30 3920 0.017241379310344827
30 3990 0.03225806451612903
30 6000 0.011494252873563218
30 6020 0.017543859649122806
30 6030 0.024390243902439025
30 6850 0.0136986301369863
30 6860 0.008130081300813009
30 6900 0.0125
30 6910 0.008130081300813009
30 6920 0.012048192771084338
30 6980 0.03225806451612903
30 7000 0.007751937984496124
30 7530 0.038461538461538464
30 7600 0.02564102564102564
30 7650 0.037037037037037035
30 7660 0.037037037037037035
30 7730 0.038461538461538464
30 7760 0.02631578947368421
30 7770 0.037037037037037035
30 8800 0.017241379310344827
30 8880 0.041666666666666664
30 9030 0.041666666666666664
30 9040 0.041666666666666664
30 9060 0.02127659574468085
30 9160 0.038461538461538464
30 9900 0.009900990099009901
30 10220 0.01020408163265306
30 12100 0.01694915254237288
30 12110 0.010752688172043012
30 12150 0.008130081300813009
30 13560 0.006993006993006993
30 13570 0.021739130434782608
30 13580 0.03125
30 13600 0.012987012987012988
30 15000 0.034482758620689655
30 15120 0.04
30 15300 0.034482758620689655
30 16810 0.024390243902439025
30 17080 0.03333333333333333
30 17410 0.007246376811594203
30 17480 0.0064516129032258064
30 19800 0.030303030303030304
30 19830 0.03571428571428571
30 21800 0.034482758620689655
30 32350 0.04
30 32400 0.02857142857142857
30 32420 0.03333333333333333
30 32430 0.006666666666666667
30 34410 0.04
30 39500 0.008547008547008548
30 39510 0.008130081300813009
30 39540 0.023255813953488372
30 39560 0.03571428571428571
30 40990 0.008130081300813009
30 41000 0.014492753623188406
30 46500 0.017543859649122806
30 46510 0.023809523809523808
30 48240 0.007633587786259542
30 57650 0.03571428571428571
30 65560 0.03571428571428571
40 50 0.008928571428571428
40 60 0.01282051282051282
40 80 0.00625
40 130 0.008928571428571428
40 280 0.012345679012345678
40 500 0.008928571428571428
40 1930 0.02857142857142857
40 2200 0.009523809523809525
40 2210 0.022727272727272728
40 2330 0.07692307692307693
40 2340 0.07692307692307693
40 2360 0.03125
40 2370 0.0625
40 2390 0.058823529411764705
40 3270 0.05555555555555555
40 3900 0.02857142857142857
40 3910 0.02127659574468085
40 3920 0.02127659574468085
40 3990 0.05
40 6850 0.016129032258064516
40 6860 0.008928571428571428
40 6900 0.014492753623188406
40 6920 0.013888888888888888
40 6980 0.05
40 7000 0.00847457627118644
40 7530 0.06666666666666667
40 7600 0.03571428571428571
40 7650 0.0625
40 7660 0.0625
40 7730 0.06666666666666667
40 7760 0.037037037037037035
40 7770 0.0625
40 8800 0.02127659574468085
40 9030 0.07692307692307693
40 9040 0.07692307692307693
40 9060 0.027777777777777776
40 9160 0.06666666666666667
40 9900 0.011111111111111112
40 12520 0.07142857142857142
40 13560 0.007575757575757576
40 13570 0.007751937984496124
40 13580 0.047619047619047616
40 15000 0.05555555555555555
40 15120 0.025
40 16810 0.03333333333333333
40 17080 0.05263157894736842
40 17410 0.007874015748031496
40 17480 0.006944444444444444
40 19830 0.058823529411764705
40 21800 0.05555555555555555
40 39540 0.03125
40 39560 0.058823529411764705
40 41000 0.017241379310344827
40 57650 0.058823529411764705
40 65560 0.058823529411764705
50 60 0.006060606060606061
50 70 0.0582010582010582
50 80 0.01639344262295082
50 130 0.25
50 220 0.005025125628140704
50 240 0.005025125628140704
50 280 0.03680981595092025
50 340 0.02631578947368421
50 360 0.013513513513513514
50 380 0.04032258064516129
50 400 0.005025125628140704
50 420 0.02030456852791878
50 500 0.005025125628140704
50 1930 0.01652892561983471
50 2200 0.005208333333333333
50 2210 0.007633587786259542
50 2270 0.008333333333333333
50 2330 0.01
50 2340 0.01
50 2360 0.008403361344537815
50 2370 0.009708737864077669
50 2390 0.009615384615384616
50 2610 0.006369426751592357
50 2840 0.009900990099009901
50 2990 0.005025125628140704
50 3270 0.009523809523809525
50 3900 0.00819672131147541
50 3910 0.007462686567164179
50 3920 0.007462686567164179
50 3990 0.009345794392523364
50 4000 0.005025125628140704
50 4500 0.005025125628140704
50 6220 0.006329113924050633
50 6850 0.006711409395973154
50 6860 0.005025125628140704
50 6900 0.00641025641025641
50 6920 0.006289308176100629
50 6980 0.009345794392523364
50 7000 0.004878048780487805
50 7520 0.008130081300813009
50 7530 0.00980392156862745
50 7600 0.008695652173913044
50 7650 0.009708737864077669
50 7660 0.009708737864077669
50 7730 0.00980392156862745
50 7760 0.008771929824561403
50 7770 0.009708737864077669
50 8080 0.00909090909090909
50 8500 0.0030959752321981426
50 8800 0.007462686567164179
50 9030 0.01
50 9040 0.01
50 9060 0.008130081300813009
50 9160 0.00980392156862745
50 9200 0.006535947712418301
50 9900 0.005649717514124294
50 10130 0.009900990099009901
50 10220 0.005747126436781609
50 12100 0.007407407407407408
50 12110 0.005917159763313609
50 12130 0.005025125628140704
50 12360 0.005235602094240838
50 13500 0.0064516129032258064
50 13520 0.007722007722007722
50 13530 0.007194244604316547
50 13560 0.0045662100456621
50 13570 0.004629629629629629
50 13580 0.009259259259259259
50 13600 0.006535947712418301
50 15000 0.009523809523809525
50 15120 0.007874015748031496
50 16810 0.008547008547008548
50 17080 0.009433962264150943
50 17410 0.004672897196261682
50 17460 0.008403361344537815
50 17480 0.004329004329004329
50 19830 0.009615384615384616
50 19900 0.005025125628140704
50 19980 0.007518796992481203
50 20510 0.0064516129032258064
50 20530 0.008547008547008548
50 20550 0.009615384615384616
50 21800 0.009523809523809525
50 22330 0.005025125628140704
50 22370 0.005025125628140704
50 24740 0.00847457627118644
50 29900 0.0125
50 32630 0.009345794392523364
50 33100 0.0078125
50 33110 0.009259259259259259
50 33120 0.008547008547008548
50 33320 0.00684931506849315
50 35140 0.005025125628140704
50 38400 0.005025125628140704
50 38410 0.005025125628140704
50 39540 0.008403361344537815
50 39560 0.009615384615384616
50 39670 0.009345794392523364
50 41000 0.006896551724137931
50 41700 0.005555555555555556
50 48000 0.005025125628140704
50 50300 0.005025125628140704
50 55110 0.008928571428571428
50 57650 0.009615384615384616
50 65560 0.009615384615384616
50 65610 0.009523809523809525
60 80 0.014218009478672985
60 130 0.006060606060606061
60 280 0.007462686567164179
60 360 0.008695652173913044
60 420 0.006024096385542169
60 1930 0.011363636363636364
60 2200 0.012738853503184714
60 2210 0.010309278350515464
60 2330 0.015151515151515152
60 2340 0.015151515151515152
60 2360 0.011764705882352941
60 2370 0.014492753623188406
60 2390 0.014285714285714285
60 2520 0.014925373134328358
60 2610 0.008130081300813009
60 2630 0.004830917874396135
60 3270 0.014084507042253521
60 3700 0.005747126436781609
60 3900 0.011363636363636364
60 3910 0.01
60 3920 0.01
60 3990 0.027777777777777776
60 4720 0.009523809523809525
60 6850 0.017543859649122806
60 6860 0.012195121951219513
60 6900 0.01652892561983471
60 6920 0.016129032258064516
60 6980 0.0136986301369863
60 7000 0.011764705882352941
60 7520 0.011235955056179775
60 7530 0.014705882352941176
60 7600 0.012345679012345678
60 7650 0.014492753623188406
60 7660 0.014492753623188406
60 7730 0.014705882352941176
60 7760 0.0125
60 7770 0.014492753623188406
60 8000 0.009900990099009901
60 8140 0.009615384615384616
60 8190 0.004464285714285714
60 8500 0.0034602076124567475
60 8800 0.01
60 9030 0.015151515151515152
60 9040 0.015151515151515152
60 9060 0.011235955056179775
60 9160 0.014705882352941176
60 9480 0.006060606060606061
60 9900 0.006993006993006993
60 12100 0.009900990099009901
60 12110 0.007407407407407408
60 13540 0.010869565217391304
60 13560 0.010869565217391304
60 13570 0.011049723756906077
60 13580 0.013513513513513514
60 15000 0.02857142857142857
60 15120 0.021739130434782608
60 16720 0.013157894736842105
60 16810 0.024390243902439025
60 17080 0.028169014084507043
60 17410 0.005555555555555556
60 17470 0.0044444444444444444
60 17480 0.005076142131979695
60 18050 0.013888888888888888
60 19830 0.028985507246376812
60 21670 0.0125
60 21800 0.014084507042253521
60 22350 0.006896551724137931
60 24240 0.006329113924050633
60 24960 0.010752688172043012
60 36000 0.014925373134328358
60 38740 0.011494252873563218
60 39120 0.006711409395973154
60 39540 0.011764705882352941
60 39560 0.014285714285714285
60 41000 0.009009009009009009
60 46360 0.014925373134328358
60 46510 0.011904761904761904
